Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.199571051979065,0.4812,0.8337878502845765,0.6508
2.0,0.818408742904663,0.677,0.814565746307373,0.7068
3.0,0.7213328643798829,0.7256,0.8402489877700806,0.6704
4.0,0.6463350783348083,0.753,0.5713348399400711,0.7848
5.0,0.5791537251472473,0.7844,0.5323365796089172,0.8048
6.0,0.5482715065002441,0.8022,0.562006276512146,0.8012
7.0,0.501485504078865,0.8156,0.5194793626785278,0.8172
8.0,0.46331652092933656,0.8298,0.6891463270187378,0.7868
9.0,0.45727206993103026,0.8348,0.5035386884689331,0.818
10.0,0.4138575315475464,0.8492,0.45201264827251436,0.836
11.0,0.3719401330947876,0.8644,0.504060050201416,0.8084
12.0,0.32468898820877073,0.8844,0.45707997465133665,0.8384
13.0,0.33748327279090884,0.879,0.48549503567051144,0.8464
14.0,0.283737713599205,0.8986,0.5667983907699585,0.8372
15.0,0.2495311467885971,0.912,0.4590859457015991,0.846
16.0,0.21723227713108062,0.9252,0.6848177155807614,0.8136
17.0,0.18696777017563582,0.9322,0.5862182504653931,0.8076
18.0,0.15095346482396127,0.9474,0.651702537727356,0.8412
19.0,0.16921673344746233,0.9378,0.5889988479614258,0.8556
20.0,0.1327885051652789,0.9538,0.578394774454087,0.8496
21.0,0.12344951909184455,0.9598,0.6429452216271311,0.842
22.0,0.08393238790258765,0.9676,0.6682101238894742,0.8568
23.0,0.1138926566272974,0.9648,0.7776013174772263,0.8424
24.0,0.07713597855046392,0.9726,0.7416181246757507,0.8528
25.0,0.08182077741483226,0.9724,0.7066635586738587,0.8388
26.0,0.0984403810352087,0.9688,0.7514990158557892,0.8476
27.0,0.060374808444827795,0.9808,0.7284788524985314,0.8352
28.0,0.05394359710104764,0.9838,0.8480418935328722,0.8372
29.0,0.06606002410072834,0.9784,0.9305690866469857,0.8576
30.0,0.06940980745353736,0.9806,0.6541392031659139,0.846
